2014-12-31,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-12-31,Branch Transaction PACKAGE FEE  ,5.00,
2014-12-29,Branch Transaction WIRE TRANSFER 06069 NARAYANAN SRIRAM 2907214 8036979,,85.00
2014-12-17,Branch Transaction CREDIT MEMO 06069  ,,828.84
2014-11-28,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-11-28,Branch Transaction PACKAGE FEE  ,5.00,
2014-11-17,Electronic Funds Transfer MISC PAYMENT VGG-BITPAYINC ,,110.66
2014-11-06, CHEQUE 000000000034  ,3200.27,
2014-11-06, CHEQUE 000000000033  ,2292.76,
2014-10-31,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-10-31,Branch Transaction PACKAGE FEE  ,5.00,
2014-10-20, CHEQUE 000000000031  ,219.35,
2014-10-20, CHEQUE 000000000032  ,1642.37,
2014-10-20, CHEQUE 000000000029  ,5299.94,
2014-10-20, CHEQUE 000000000030  ,8333.52,
2014-10-20, CHEQUE 000000000028  ,11063.29,
2014-10-07,Electronic Funds Transfer MISC PAYMENT VGG-BITPAYINC ,,175.10
2014-10-01,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4000.00
2014-09-30,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-09-30,Branch Transaction PACKAGE FEE  ,5.00,
2014-09-19,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,0.19
2014-09-19,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,0.13
2014-09-16,Electronic Funds Transfer CREDIT MEMO VGG-BITPAYINC ,,110.06
2014-08-29,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-08-29,Branch Transaction PACKAGE FEE  ,5.00,
2014-08-18,Electronic Funds Transfer CREDIT MEMO VGG-BITPAYINC ,,118.54
2014-08-12, CHEQUE 000000000027  ,13979.23,
2014-07-31,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-07-31,Branch Transaction PACKAGE FEE  ,5.00,
2014-07-22,Branch Transaction DEPOSIT  ,,42112.20
2014-07-21,Branch Transaction DEBIT MEMO 06069 CREDIT RATING FEE FOR: ALLSTREAM,25.00,
2014-07-16,Electronic Funds Transfer CREDIT MEMO VGG-BITPAYINC ,,131.42
2014-07-15,Electronic Funds Transfer CREDIT MEMO VGG-BITPAYINC ,,122.04
2014-06-30,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-06-30,Branch Transaction PACKAGE FEE  ,5.00,
2014-06-12,Electronic Funds Transfer CREDIT MEMO VGG-BITPAYINC ,,436.79
2014-06-11,Branch Transaction CREDIT MEMO 06069  ,,6314.18
2014-06-05,Electronic Funds Transfer MISC PAYMENT 140604CA2142431 1/MIRCO ACKERMANN,,140.00
2014-05-30,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-05-30,Branch Transaction PACKAGE FEE  ,5.00,
2014-05-29,Electronic Funds Transfer CREDIT MEMO VGG-BITPAYINC ,,671.26
2014-05-21,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,5806.16
2014-05-21,Branch Transaction WIRE TRANSFER 06069 BITPAY INC 2125125 7165550,,1168.69
2014-05-21,Branch Transaction DEPOSIT  ,,26718.96
2014-05-20,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4228.92
2014-05-14, CHEQUE 000000000025  ,1050.00,
2014-05-09, CHEQUE 000000000026  ,7068.60,
2014-05-09, CHEQUE 000000000024  ,6479.14,
2014-05-01,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4000.00
2014-04-30,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-04-30,Branch Transaction PACKAGE FEE  ,5.00,
2014-04-28,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4000.00
2014-04-24,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4000.00
2014-04-24,Branch Transaction CREDIT MEMO 06069  ,,1172.88
2014-04-24,Branch Transaction WIRE TRANSFER 06069 BITPAY INC 2422870 7062176,,1006.77
2014-04-22,Branch Transaction WIRE TRANSFER 06069 BITPAY INC 2216507 7051140,,1050.38
2014-04-16, CHEQUE 000000000023  ,594.06,
2014-04-16, CHEQUE 000000000022  ,918.98,
2014-04-16, CHEQUE 000000000021  ,2337.20,
2014-04-16, CHEQUE 000000000020  ,2452.61,
2014-03-31,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-03-31,Branch Transaction DEPOSIT ITEM FEE 2 AT .22 ,0.44,
2014-03-31,Branch Transaction PACKAGE FEE  ,5.00,
2014-03-21, CHEQUE 000000000019  ,8248.46,
2014-03-10, CHEQUE 000000000018  ,14019.35,
2014-03-10, CHEQUE 000000000017  ,1980.19,
2014-03-10, CHEQUE 000000000015  ,5417.70,
2014-03-10, CHEQUE 000000000016  ,3487.47,
2014-03-10,Internet Banking MOBILE DEPOSIT  ,,200.00
2014-03-10,Internet Banking MOBILE DEPOSIT  ,,5000.00
2014-03-05,"Electronic Funds Transfer MISC PAYMENT FACEBOOK, INC. ",,10000.00
2014-02-28,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-02-28,Branch Transaction DEPOSIT ITEM FEE 2 AT .22 ,0.44,
2014-02-28,Branch Transaction PACKAGE FEE  ,5.00,
2014-02-20,Branch Transaction CREDIT MEMO 06069  ,,10758.84
2014-02-18,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4278.88
2014-02-14,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4283.88
2014-02-07,Branch Transaction WIRE TRANSFER 06069 SEPPMAIL AG 0742135 9774533,,14640.80
2014-02-06,Internet Banking MOBILE DEPOSIT  ,,2000.00
2014-02-06,Internet Banking MOBILE DEPOSIT  ,,100.00
2014-02-05,Electronic Funds Transfer CREDIT MEMO merchant Payout BITPAY INC,,196.07
2014-01-31,Branch Transaction PAPER STMNT FEE  ,3.00,
2014-01-31,Branch Transaction PACKAGE FEE  ,5.00,
2014-01-31,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4000.00
2014-01-29,Electronic Funds Transfer CREDIT MEMO merchant Payout BITPAY INC,,146.26
2014-01-27,"Branch Transaction WIRE TRANSFER 06069 OPENWALL,INC. 2707614 9723389",,1185.34
2014-01-24,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,4000.00
2014-01-23,Branch Transaction CREDIT MEMO 06069  ,,14687.77
2014-01-22,Electronic Funds Transfer CREDIT MEMO merchant Payout BITPAY INC,,6152.97
2014-01-22,Branch Transaction DEPOSIT  ,,412.20
2014-01-22,Electronic Funds Transfer MISC PAYMENT PAYPAL PTE LTD ,,10000.00
2014-01-22,Branch Transaction WIRE TRANSFER 06069 SNABB GMBH 2209595 9707089,,4970.00
2014-01-21,Electronic Funds Transfer CREDIT MEMO Merchant Payout BITPAY INC,,6492.17
2014-01-21,Electronic Funds Transfer MISC PAYMENT CURRENCYFAIR LTD ,,1016.34
2014-01-20,Electronic Funds Transfer CREDIT MEMO Merchant Payout BITPAY INC,,9999.99
2014-01-17,Electronic Funds Transfer CREDIT MEMO merchant Payout BITPAY INC,,3657.47
2014-01-16,Electronic Funds Transfer CREDIT MEMO Merchant Payout BITPAY INC,,699.37
2014-01-15,Electronic Funds Transfer CREDIT MEMO MERchant Payout BITPAY INC,,885.40
2014-01-06,Electronic Funds Transfer CREDIT MEMO Merchant Payout BITPAY INC,,4263.66
